no,full_name,dept,salary,id_unik,id,status,join_date,phone_no,street,city,state,age
3,Mawar Melati,H RD,348855,1004,1,a,1/1/2021,+62252507,Jln. Kali,horgend,juswiysia,29
10,Clint Anton,IT,447767,1009,2,A,12/3/2019,401-5466,Jln. Aspal,zraasas,ecraynia,34
12,Gatot Space,H RD,337778,1007,3,a,11/3/2018,2289-7210,Jln. Berat,croutphis,ceswain,26
8,Rudi Kulit,H RD,363560,1006,4,A,7/6/2020,4178-5313,Jln. Ringan,guiver,juswiysia,39
2,Kholid Aman, SA LES ,334665,1015,5,a,11/25/2017,+84131165,Jln. Macan,woibert,ecraynia,31
6,Ica Merica,H RD,274445,1005,6,a,10/16/2017,21015383,Jln. Burung,phouver,ceswain,31
5,Miya Panah, SA LES ,445466,1013,7,A,1/1/2021,1062193,Jln. Kenari,trin,juswiysia,34
4,Granger Pistol,IT,500434,1008,9,A,7/6/2020,17753072,Jln. Jalan,izlence,ecraynia,37
7,Nana Onana, SA LES ,463636,1012,10,A,12/3/2022,21650348,Jln. Hebat,oniovine,ceswain,35
9,Asep Surasep,H RD,346397,1002,11,i,7/6/2023,8938880,Jln. Merah,osaron,juswiysia,40
11,Odet Odette, SA LES ,342345,1016,12,I,12/3/2019,11278896,Jln. Semut,horgend,ecraynia,34
1,Uranus Tank,IT,304004,1010,17,i,11/3/2018,+111-19306,Jln. Jira,zraasas,ceswain,30
13,Imron Sulap,IT,376397,1017,19,i,11/6/2023,+49653-992,Jln. Aspal,croutphis,juswiysia,38
14,Iqbal Mada,IT,324004,1018,20,A,11/15/2023,+93656244,Jln. Aspal,guiver,ecraynia,35
15,Eudora Petir, SA LES ,295466,1019,21,A,11/3/2018,808-99862,Jln. Aspal,woibert,ceswain,37
16,Suka Sama,IT,350000,1020,22,A,7/6/2020,16207255,Jln. Aspal,phouver,juswiysia,31
17,Duka Saya, SA LES ,304004,1021,23,a,7/6/2020,38626464,Jln. Berat,trin,ecraynia,36
18,Mara Masih, SA LES ,295466,1022,24,a,1/1/2021,36808262,Jln. Ringan,izlence,ceswain,42
19,Saya Adalah,IT,390000,1023,25,a,12/3/2019,40522398,Jln. Kenari,oniovine,juswiysia,32
20,Kamu Pulang, SA LES ,284004,1024,26,a,11/3/2018,+1654-5318,Jln. Jalan,osaron,ecraynia,17
21,Dia Tanya, SA LES ,275466,1025,27,a,7/6/2020,+606-31192,Jln. Hebat,horgend,ceswain,25
19,Saya Adalah,IT,390000,1023,28,A,11/25/2017,10617473,Jln. Merah,zraasas,juswiysia,29
20,Kamu Pulang, SA LES ,284004,1024,29,A,10/16/2017,45462621,Jln. Semut,croutphis,ecraynia,22
21,Dia Tanya, SA LES ,275466,1025,30,a,6/30/2017,52683538,Jln. Jira,guiver,ceswain,42
